question_id,experiment,question,answer,expected_answer_contains,contains_expected,latency_ms,status_code,error,notes
q001,local_onnx_reranker,What is the maximum file size a user can upload?,The maximum file size a user can upload is **30 MB**.,30 MB; 30MB,True,12861,200,,
q002,local_onnx_reranker,What is the name of the Azure AI Search index used to store chunks and embeddings?,The name of the Azure AI Search index used to store chunks and embeddings is `documents-index`.,documents-index,True,1890,200,,
q003,local_onnx_reranker,Which Azure Document Intelligence model is used for text extraction?,The Azure Document Intelligence model used for text extraction is the **`prebuilt-document`** model.,prebuilt-document,True,2137,200,,
q004,local_onnx_reranker,"Describe the chunking strategy used when splitting extracted text, including the token limits applied.","The chunking strategy used when splitting extracted text includes the following rules:

- Maximum **100 tokens per line**
- Maximum **1000 tokens per paragraph**

Chunking preserves semantic boundaries where possible to improve retrieval quality.",100 tokens; 1000 tokens; line; paragraph,True,1943,200,,
q005,local_onnx_reranker,"How does the reranking retrieval strategy work, and how many candidate chunks does it initially retrieve before selecting the final context?","The reranking retrieval strategy performs a vector similarity search and retrieves the **top 50** candidate chunks. It then passes these 50 candidates through a **local ONNX cross-encoder reranker**, which scores each (question, chunk) pair and selects the **final top 3** chunks.",50; cross-encoder; top 3; ONNX,True,2049,200,,
q006,local_onnx_reranker,"What interface do both the baseline and reranking implementations satisfy, and what configuration key controls which ranker is active?",Both the baseline and reranking implementations satisfy the **`IChunkRanker`** interface. The configuration key that controls which ranker is active is **`Rag:Ranker`**.,IChunkRanker; Rag:Ranker,True,1952,200,,
q007,local_onnx_reranker,What are the three Azure Blob Storage containers used by the system and what is each one used for?,"The three Azure Blob Storage containers used by the system and their purposes are:

1. **Primary blob container** - Stores original uploaded files.
2. **Extract container** - Stores extracted metadata produced during processing.
3. **Copy container** - Stores copied versions of uploaded files.",primary; extract; copy; original; metadata,True,2215,200,,
q008,local_onnx_reranker,Compare the baseline retrieval strategy and the reranking strategy. What are the key differences in how they select the final chunks returned to the language model?,"The key differences between the baseline retrieval strategy and the reranking strategy in how they select the final chunks returned to the language model are as follows:

1. **Number of Candidates Retrieved**:
   - **Baseline Retrieval**: Performs a vector similarity search and returns the **top 3** results directly as the final context.
   - **Reranking Strategy**: Performs a vector similarity search and retrieves the **top 50** candidate chunks.

2. **Reranking Process**:
   - **Baseline Retrieval**: Implemented by **`NoOpChunkRanker`**, which passes candidates through without reranking.
   - **Reranking Strategy**: Uses a **local ONNX cross-encoder reranker** to score each (question, chunk) pair and selects the **final top 3** chunks from the initial 50 candidates.

These differences highlight that the reranking strategy involves an additional step of evaluating and scoring a larger set of candidates before determining the final results, potentially leading to more relevant answers.",top 3; top 50; NoOpChunkRanker; LocalRankerService; cross-encoder; vector,True,2936,200,,
q009,local_onnx_reranker,What are the trade-offs of using LocalRankerService over NoOpChunkRanker in terms of retrieval pipeline complexity and the number of candidates processed?,Sorry but I dont have any information about this question.,50; 3; ONNX; LocalRankerService; NoOpChunkRanker,False,1833,200,,
q010,local_onnx_reranker,"Explain why the assistant might respond that it does not have information about a question, and trace back which part of the architecture causes this behaviour.",,context; retrieved; does not have information; grounded,False,2416,500,"{""type"":""https://tools.ietf.org/html/rfc9110#section-15.6.1"",""title"":""Internal error"",""status"":500,""detail"":""Error occurred while answering question: HTTP 400 (content_filter)\nParameter: prompt\n\nThe response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766""}",
q011,local_onnx_reranker,What is the maximum number of documents a single user account can have stored at one time?,Sorry but I dont have any information about this question.,does not have information; not specified; not mentioned,False,1838,200,,
q012,local_onnx_reranker,Which language model version or deployment name is used for answer generation?,Sorry but I dont have any information about this question.,does not have information; not specified; not available,False,2047,200,,
